City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Ayorou,NE,85.64,clear sky,14.7308,0.9174,Hotel Amenokal
602,Mahibadhoo,MV,83.17,overcast clouds,3.7833,72.9667,Omadhoo Inn
603,Kingsville,US,87.8,few clouds,27.5159,-97.8561,Econo Lodge Kingsville
605,Innisfail,AU,75.69,broken clouds,-17.5333,146.0333,Moondarra Motel
608,Westport,US,80.6,haze,41.1415,-73.3579,The Westport Inn
610,Lingao,CN,71.71,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
611,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
612,Maragogi,BR,77.41,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
613,Poya,NC,79.75,clear sky,-21.35,165.15,
617,Xuddur,SO,75.65,clear sky,4.1213,43.8894,Banjanay Hotel
619,Jaciara,BR,80.78,clear sky,-15.9653,-54.9683,Taba Hotel
624,Inongo,CD,72.86,light rain,-1.95,18.2667,Hotel Du Lac
625,Paita,PE,84.2,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
626,Riyadh,SA,87.8,clear sky,24.6877,46.7219,InterContinental Riyadh
627,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
629,Angoche,MZ,77.94,clear sky,-16.2325,39.9086,Guest House HESADA
631,Black River,JM,84.2,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
633,Sibolga,ID,77.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
634,Marsh Harbour,BS,77.05,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
637,Warri,NG,79.79,clear sky,5.5167,5.75,BON Hotel Delta
638,Sabang,ID,83.41,heavy intensity rain,5.8933,95.3214,Hotel Citra
641,Ishigaki,JP,72.97,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
642,Kieta,PG,80.76,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
643,Lorengau,PG,79.84,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
