City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Poso,ID,-1.3959,120.7524,78.01,84,100,5.7,overcast clouds
262,Singapore,SG,1.2897,103.8501,78.8,89,75,3.44,broken clouds
263,Galle,LK,6.0367,80.217,77.32,86,100,5.91,overcast clouds
264,Ixtapa,MX,20.7,-105.2,75.2,69,75,11.5,broken clouds
265,Cabra,ES,37.4725,-4.4421,59.0,51,11,1.95,few clouds
266,Ambilobe,MG,-13.2,49.05,73.63,94,100,2.48,overcast clouds
267,Mezen,RU,65.8522,44.24,9.27,96,38,1.86,scattered clouds
268,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,3.44,light rain
269,Upata,VE,8.0086,-62.3989,84.99,71,100,5.99,overcast clouds
270,Ancud,CL,-41.8697,-73.8203,60.8,67,20,6.91,few clouds
271,Ust-Ishim,RU,57.6935,71.1665,32.94,98,100,5.97,overcast clouds
272,Swan Hill,AU,-35.3378,143.5544,59.41,75,100,5.5,overcast clouds
273,Mahon,ES,39.8885,4.2658,55.4,88,0,3.44,clear sky
274,Linxia,CN,35.6003,103.2064,43.66,49,93,1.23,overcast clouds
275,Bethel,US,41.3712,-73.414,80.6,29,40,26.46,scattered clouds
276,Chapleau,CA,47.8405,-83.4034,30.2,69,75,6.91,broken clouds
277,Ulaangom,MN,49.9811,92.0667,10.8,61,0,6.17,clear sky
278,Bathsheba,BB,13.2167,-59.5167,80.6,57,20,23.02,few clouds
279,Yabrud,SY,33.9674,36.6574,44.6,57,40,8.05,scattered clouds
280,Sovetskaya,RU,44.7769,41.1722,36.59,91,100,7.4,overcast clouds
281,Upernavik,GL,72.7868,-56.1549,-28.44,89,9,6.24,clear sky
282,Port Lincoln,AU,-34.7333,135.8667,58.77,77,17,8.14,few clouds
283,Inta,RU,66.0317,60.1659,13.55,95,100,7.52,light snow
284,Walvis Bay,NA,-22.9575,14.5053,63.0,94,35,8.05,scattered clouds
285,Kodiak,US,57.79,-152.4072,35.6,48,1,18.41,clear sky
286,Grand Gaube,MU,-20.0064,57.6608,75.99,84,16,2.04,light rain
287,Saint-Augustin,CA,51.226,-58.6502,26.82,77,100,18.01,overcast clouds
288,Bandarbeyla,SO,9.4942,50.8122,78.53,72,87,12.64,overcast clouds
289,Plettenberg Bay,ZA,-34.0527,23.3716,66.7,79,100,6.46,overcast clouds
290,Geraldton,AU,-28.7667,114.6,60.8,82,5,11.5,clear sky
291,Fare,PF,-16.7,-151.0167,83.05,73,5,22.19,light rain
292,Saint Stephen,GB,50.3333,-4.9,42.8,81,75,23.02,broken clouds
293,Balkanabat,TM,39.5108,54.3671,57.13,48,0,4.16,clear sky
294,Necochea,AR,-38.5473,-58.7368,63.0,87,100,8.99,moderate rain
295,Helong,CN,42.5397,128.9972,39.69,79,100,3.85,light rain
296,Butaritari,KI,3.0707,172.7902,80.82,80,61,15.26,light rain
297,Pevek,RU,69.7008,170.3133,-28.05,98,94,4.83,overcast clouds
298,Kita,ML,13.0349,-9.4895,90.3,12,56,8.01,broken clouds
299,Quimper,FR,48.0,-4.1,42.8,70,20,9.22,few clouds
300,Xining,CN,36.6167,101.7667,37.87,58,74,3.02,broken clouds
301,Flinders,AU,-34.5833,150.8552,60.01,89,11,1.01,few clouds
302,Magadan,RU,59.5667,150.8,-5.96,96,63,4.29,broken clouds
303,Diapaga,BF,12.0708,1.7889,91.49,15,19,5.57,few clouds
304,Kapuskasing,CA,49.4169,-82.4331,24.8,63,100,11.5,overcast clouds
305,Boralday,KZ,43.3578,76.8594,53.6,66,75,4.47,moderate rain
306,Awjilah,LY,29.1081,21.2869,56.48,47,3,14.45,clear sky
307,Inuvik,CA,68.3499,-133.7218,-0.4,71,100,9.22,overcast clouds
308,Novikovo,RU,51.1537,37.8879,35.01,98,100,6.17,overcast clouds
309,Dinguiraye,GN,11.3,-10.7167,84.81,11,11,3.0,few clouds
310,Nyurba,RU,63.2842,118.3319,4.19,97,55,5.61,broken clouds
311,Aripuana,BR,-9.1667,-60.6333,78.62,92,90,2.33,overcast clouds
312,Carutapera,BR,-1.195,-46.02,73.17,96,100,1.81,moderate rain
313,Rocha,UY,-34.4833,-54.3333,71.04,87,100,6.6,overcast clouds
314,Salekhard,RU,66.53,66.6019,0.14,95,32,5.1,scattered clouds
315,Sisimiut,GL,66.9395,-53.6735,-6.81,82,78,11.9,broken clouds
